Modèle,RMSE,MAE,R²,Gini,Biais
Tobit,0.24158453458505816,0.18166514506955106,0.06488027748841074,0.11398290375910723,-0.0008407556990137066
Beta Reg.,0.24621966792139582,0.1933153648452114,0.02865291401485004,0.10384865321096835,0.04661616455218459
FRM,0.2415189180065929,0.18031790841821443,0.06538818271396307,0.11414123754195192,-0.009233001942259275
Random Forest,0.24493837954356967,0.18192624666965376,0.038736084498579904,0.08250684579434762,-0.00995428410306072
XGBoost,0.23883876895483688,0.1791508070091009,0.08601597033266328,0.11806398080959311,0.0031605054937601075
