Modèle,RMSE,MAE,R²,Gini,Biais
Tobit,0.18966214364954723,0.15020368488189575,0.21614150154964806,0.09346347998183448,-0.0037924774748340426
Beta Reg.,0.1902118396928005,0.15112785349965643,0.2115912173421024,0.09374038460486268,-0.008713288487230507
FRM,0.18995267322734435,0.1495492415849597,0.21373819112809156,0.09325208151339472,6.913724092260471e-05
Random Forest,0.1821946378343563,0.14301464351062584,0.27665156900396004,0.10048274340088904,0.00038663093145464166
XGBoost,0.18182319026463106,0.14283472889763116,0.2795980017796903,0.10115692734784755,0.00024536750587714505
